_id,genres,image_url,imdb_id,imdb_link,movie_id,movie_title,original_language,overview,popularity,production_countries,release_date,runtime,spoken_languages,tmdb_id,tmdb_link,vote_average,vote_count,year_released
5fc877536758f69634b372ef,"[""Horror"",""Thriller""]",film-poster/3/3/0/8/3/7/330837-creep-2-0-230-0-345-crop,tt3654796,http://www.imdb.com/title/tt3654796/maindetails,creep-2,Creep 2,en,"After finding an ad online for “video work,” Sara, a video artist whose primary focus is creating intimacy with lonely men, thinks she may have found the subject of her dreams. She drives to a remote house in the forest and meets a man claiming to be a serial killer. Unable to resist the chance to create a truly shocking piece of art, she agrees to spend the day with him. However, as the day goes on, she discovers she may have dug herself into a hole from which she can’t escape.",9.919,"[""United States of America""]",2017-10-14,80.0,"[""English""]",396493.0,https://www.themoviedb.org/movie/396493/,6.4,519.0,2017.0
5fc877536758f69634b3744f,"[""Comedy"",""Thriller"",""Crime"",""Action""]",film-poster/4/7/1/8/3/47183-the-man-who-knew-too-little-0-230-0-345-crop,tt0120483,http://www.imdb.com/title/tt0120483/maindetails,the-man-who-knew-too-little,The Man Who Knew Too Little,en,"An American gets a ticket for an audience participation game in London, then gets involved in a case of mistaken identity. As an international plot unravels around him, he thinks it's all part of the act.",10.578,"[""United States of America""]",1997-11-14,97.0,"[""English""]",9414.0,https://www.themoviedb.org/movie/9414/,6.4,355.0,1997.0
5fc877426758f69634b3490b,"[""Comedy""]",film-poster/2/1/8/1/1/4/218114-dirty-grandpa-0-230-0-345-crop,tt1860213,http://www.imdb.com/title/tt1860213/maindetails,dirty-grandpa,Dirty Grandpa,en,"Jason Kelly is one week away from marrying his boss's uber-controlling daughter, putting him on the fast track for a partnership at the law firm. However, when the straight-laced Jason is tricked into driving his foul-mouthed grandfather, Dick, to Daytona for spring break, his pending nuptials are suddenly in jeopardy. Between riotous frat parties, bar fights, and an epic night of karaoke, Dick is on a quest to live his life to the fullest and bring Jason along for the ride.",50.185,"[""United States of America""]",2016-01-20,102.0,"[""English""]",291870.0,https://www.themoviedb.org/movie/291870/,5.9,3629.0,2016.0
5fc877536758f69634b3734b,"[""Horror"",""Science Fiction""]",film-poster/2/6/9/5/9/6/269596-the-new-mutants-0-230-0-345-crop,tt4682266,http://www.imdb.com/title/tt4682266/maindetails,the-new-mutants,The New Mutants,en,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",93.618,"[""United States of America""]",2020-08-26,94.0,"[""Português"",""Latin"",""English""]",340102.0,https://www.themoviedb.org/movie/340102/,6.3,2385.0,2020.0
5fc877536758f69634b373c9,"[""Drama""]",film-poster/2/2/8/9/2289-the-kid-with-a-bike-0-230-0-345-crop,tt1827512,http://www.imdb.com/title/tt1827512/maindetails,the-kid-with-a-bike,The Kid with a Bike,fr,"Abandoned by his father, a young boy is left in the hands of an unqualified childcare provider.",8.576,"[""Belgium"",""France"",""Italy""]",2011-05-18,87.0,"[""Français""]",63831.0,https://www.themoviedb.org/movie/63831/,7.2,307.0,2011.0
5fc877536758f69634b373d4,"[""Action"",""Crime"",""Drama"",""Thriller""]",film-poster/4/5/8/5/0/45850-the-killer-0-230-0-345-crop,tt0097202,http://www.imdb.com/title/tt0097202/maindetails,the-killer,The Killer,cn,"Mob assassin Jeffrey is no ordinary hired gun; the best in his business, he views his chosen profession as a calling rather than simply a job. So, when beautiful nightclub chanteuse Jennie is blinded in the crossfire of his most recent hit, Jeffrey chooses to retire after one last job to pay for his unintended victim's sight-restoring operation. But when Jeffrey is double-crossed, he reluctantly joins forces with a rogue policeman to make things right.",10.998,"[""Hong Kong""]",1989-07-06,110.0,"[""广州话 / 廣州話"",""普通话"",""日本語""]",10835.0,https://www.themoviedb.org/movie/10835/,7.7,515.0,1989.0
5fc877536758f69634b372c0,"[""Horror"",""Thriller""]",sm/upload/ii/ex/ec/zv/gW5MnkQ9zHtyVPzdDDHPEDCrZ57-0-230-0-345-crop,tt3286052,http://www.imdb.com/title/tt3286052/maindetails,the-blackcoats-daughter,The Blackcoat's Daughter,en,"In the dead of winter, Kat and Rose, two very different girls, find themselves spending winter break at their prestigious prep school. What they don't know is that Kat is being stalked by an evil entity, and their lives are about to change forever. Meanwhile, Joan, a young, troubled woman, makes her way across a frozen landscape towards the school. But why?",9.693,"[""Canada"",""United States of America""]",2017-03-31,93.0,"[""English""]",334536.0,https://www.themoviedb.org/movie/334536/,5.7,442.0,2015.0
5fc877536758f69634b373f2,"[""Drama"",""Romance"",""Comedy""]",sm/upload/7k/5z/st/xh/A7P4oUpLl4tmgUn0oQjTb0nRjW4-0-230-0-345-crop,tt0268995,http://www.imdb.com/title/tt0268995/maindetails,the-majestic,The Majestic,en,"Set in 1951, a blacklisted Hollywood writer gets into a car accident, loses his memory and settles down in a small town where he is mistaken for a long-lost son.",13.195,"[""United States of America""]",2001-12-21,152.0,"[""English""]",11086.0,https://www.themoviedb.org/movie/11086/,6.8,535.0,2001.0
5fc877536758f69634b372a9,"[""Action"",""Adventure""]",film-poster/4/7/2/5/2/47252-the-mask-of-zorro-0-230-0-345-crop,tt0120746,http://www.imdb.com/title/tt0120746/maindetails,the-mask-of-zorro,The Mask of Zorro,en,"It has been twenty years since Don Diego de la Vega fought Spanish oppression in Alta California as the legendary romantic hero, Zorro. Having escaped from prison he transforms troubled bandit Alejandro into his successor, in order to foil the plans of the tyrannical Don Rafael Montero who robbed him of his freedom, his wife and his precious daughter.",16.987,"[""United States of America""]",1998-07-16,136.0,"[""Español"",""English""]",9342.0,https://www.themoviedb.org/movie/9342/,6.5,3152.0,1998.0
5fc877536758f69634b3722a,"[""Drama"",""Thriller"",""Mystery""]",sm/upload/z5/kn/n6/gc/2l0e51Vz9lq7q5Nh5itLbwug5dZ-0-230-0-345-crop,tt1352824,http://www.imdb.com/title/tt1352824/maindetails,chloe,Chloe,en,"A doctor hires an escort to seduce her husband, whom she suspects of cheating, though unforeseen events put the family in danger.",13.933,"[""France"",""United States of America"",""Canada""]",2009-03-25,96.0,"[""English""]",28211.0,https://www.themoviedb.org/movie/28211/,6.0,1331.0,2009.0
